propinsi,kota
Aceh,Ace
Aceh,Aceh
ACEH,"BANDA ACEH"
ACEH,BINJAI
ACEH,QWERTYUIOPASDFGHJKLZXCVBNM1234
BALI,BADUNG
BALI,DENPASAR
Bali,"Denpasar Moon"
Bali,Jimbaran
Bali,Joger
Bali,Ubud
"BANGKA BELITUNG","PANGKAL PINANG"
BANTEN,CENGKARENG
BANTEN,TANGERANG
BENGKULU,BENGKULU
D.I.YOGYAKARTA,YOGYAKARTA
"DI Yogyakarta",Yogyakarta
"DKI JAKARTA",CILEUNGSI
"DKI Jakarta","Jakarta Barat"
"DKI Jakarta","Jakarta Pusat"
"DKI Jakarta","Jakarta Selatan"
"DKI Jakarta","Jakarta Timur"
"DKI Jakarta","Jakarta Utara"
"DKI Jakarta","Kepulauan Seribu"
"DKI JAKARTA KOTA","JAKARTA BARAT KOTA"
"DKI JAKARTA KOTA","JAKARTA PUSAT KOTA"
"DKI JAKARTA RAYA",ABC
"DKI JAKARTA RAYA",JAKBAR
"DKI JAKARTA RAYA",JAKTIM
IRIANJAYA,Jayapura
JAMBI,JAMBI
"Jawa Barat",Bandung
"JAWA BARAT",BEKASI
"JAWA BARAT",BOGOR
"JAWA BARAT",CIAMIS
"JAWA BARAT",CIKAMPEK
"JAWA BARAT",CILEGON
"JAWA BARAT",CIREBON
"JAWA BARAT",DEPOK
"JAWA BARAT",GARUT
"JAWA BARAT",KARAWANG
"JAWA BARAT",KUNINGAN
"JAWA BARAT",PURWAKARTA
"JAWA BARAT",SERANG
"JAWA BARAT",SUKABUMI
"JAWA BARAT",TANGERANG
"JAWA BARAT",TASIKMALAYA
"JAWA TENGAH",BUMIAYU
"JAWA TENGAH",CEPU
"JAWA TENGAH",CILACAP
"JAWA TENGAH",KEBUMEN
"JAWA TENGAH",KISARAN
"JAWA TENGAH",KLATEN
"JAWA TENGAH",KUDUS
"JAWA TENGAH",MAGELANG
"JAWA TENGAH",PATI
"JAWA TENGAH",PEKALONGAN
"JAWA TENGAH",PURWODADI
"JAWA TENGAH",PURWOKERTO
"JAWA TENGAH",REMBANG
"JAWA TENGAH",SEMARANG
"JAWA TENGAH",SOLO
"JAWA TENGAH",SRAGEN
"JAWA TENGAH",SUKOHARJO
"JAWA TENGAH",SURAKARTA
"JAWA TENGAH",TEGAL
"JAWA TENGAH",WONOGIRI
"JAWA TIMUR",BANGKALAN
"JAWA TIMUR",GRESIK
"JAWA TIMUR",JEMBER
"JAWA TIMUR",KEDIRI
"JAWA TIMUR",MADIUN
"JAWA TIMUR",MAGETAN
"JAWA TIMUR",MALANG
"JAWA TIMUR",MOJOKERTO
"JAWA TIMUR",NGANJUK
"JAWA TIMUR",NGAWI
"JAWA TIMUR",SIDOARJO
"JAWA TIMUR",SURABAYA
"KALIMANTAN BARAT",PONTIANAK
"KALIMANTAN SELATAN",BANJARMASIN
"KALIMANTAN TENGAH",PALANGKARAYA
"KALIMANTAN TIMUR",BALIKPAPAN
"KALIMANTAN TIMUR",SAMARINDA
LAMPUNG,"BANDAR LAMPUNG"
Lampung,"Lampung Selatan"
LAMPUNG,TRIMULYO
MALUKU,TERNATE
"NUSATENGGARA BARAT",LOMBOK
"NUSATENGGARA BARAT",MATARAM
"NUSATENGGARA TIMUR",FLORES
"NUSATENGGARA TIMUR",KUPANG
RIAU,BATAM
RIAU,DUMAI
RIAU,PEKANBARU
"SULAWESI SELATAN",MAKASSAR
"SULAWESI SELATAN","UJUNG PANDANG"
"SULAWESI TENGAH",PALU
"SULAWESI TENGGARA",KENDARI
"SULAWESI UTARA",MANADO
"sumatera barat",PADANG
"SUMATERA SELATAN",BATAM
"SUMATERA SELATAN",JAMBI
"SUMATERA SELATAN",PALEMBANG
"SUMATERA SELATAN","PEKAN BARU"
"SUMATERA TENGAH",PEKANBARU
"SUMATERA UTARA",BALIGE
"SUMATERA UTARA",BINJAI
"SUMATERA UTARA",DURI
"SUMATERA UTARA",MEDAN
"TIMOR TIMUR","TIMOR LESTE"
