sys_menu_id,parent,nama,link,level,urut,sys_path,f_aktif,sys_user_create,sys_tgl_create,sys_jam_create,sys_user_nonaktif,sys_tgl_nonaktif,sys_jam_nonaktif
1,0,ROOT,,0,1,,1,,,,,,
2,1,Admin,,1,1,,1,,,,,,
3,2,Audit Trail,master/audittrail,2,1,,1,,,,,,
4,2,Log Email,master/logemail,2,2,,1,,,,,,
5,2,Log SMS,master/logsms,2,3,,1,,,,,,
6,2,Back Up,,2,4,,1,,,,,,
7,2,Master,,2,5,,1,,,,,,
8,7,Divisi,master/divisi,3,1,,1,,,,,,
9,7,Sub Divisi,master/subdivisi,3,2,,1,,,,,,
10,7,Departmen,master/departmen,3,3,,1,,,,,,
11,7,Lokasi,master/lokasi,3,4,,1,,,,,,
12,7,Fungsi User,master/mfungsi,3,5,,1,,,,,,
13,7,Menu,master/menu,3,6,,1,,,,,,
14,2,User Management,,2,6,,1,,,,,,
15,14,Group User,master/groupuser,3,1,,1,,,,,,
16,14,User,master/user,3,2,,1,,,,,,
17,14,User Divisi,master/userdivisi,3,3,,1,,,,,,
18,14,Group Biaya,master/groupbiaya,3,4,,1,,,,,,
19,14,Detail Biaya,master/detailbiaya,3,5,,1,,,,,,
20,14,Hak Biaya,master/hakbiaya,3,6,,1,,,,,,
21,14,Hak Approve,master/hakapprove,3,7,,1,,,,,,
22,14,Hak Biaya Hist,master/hakbiayahist,3,8,,1,,,,,,
23,14,Group Lokasi,master/grouplokasih,3,9,,1,,,,,,
24,1,Transaksi,,1,2,,1,,,,,,
25,24,Entry PPUC,trans/ppuch,2,1,,1,,,,,,
26,24,Approval Divisi,,2,2,,1,,,,,,
27,24,Realisasi PPUC ,,2,3,,1,,,,,,
28,24,Batal PPUC,,2,4,,1,,,,,,
29,24,Verifikasi Realisasi PPUC ,,2,5,,1,,,,,,
30,1,Report,,1,3,,1,,,,,,
